GTIN,ITEM,SKU,LAZYCODE,Prod Type,Ad Family
10071430009335,DOLE AMERICAN BLEND  12 OZ,43,D6AMER,CORE,BLEND
10071430008062,DOLE 6/10OZ CAESAR COMP #53,53,D6CAESR,KITS,DOLE KITS
10071430009250,DOLE LIGHT CAESAR SLD KIT  9.7 OZ,64,D6LFCSR,KITS,DOLE KITS
10071430009519,DOLE CHOPPED ROMAINE  32 OZ,78,D62ROM,CORE,CHOPPED ROMAINE
10071430000837,DOLE FAM ULT CSR 6/15OZ #156,156,DFAMUCR,KITS,
10071430009649,DOLE BABY SPINACH  6 OZ,320,D6CSPIN,TENDER,DOLE BLENDS
20071430009769,DOLE SPINACH  9 OZ,323,D12SPIN,TENDER,
10071430010720,DOLE ARUGULA 6-5OZ #340,340,D6ARUGL,,
10071430001483,RTE WAL GRAPE 4/11.5 393,393,DMSWGRP,0,
10071430001643,RTE MM RD PEP HUM 5.5OZ 410,410,DMMRHUM,BOWLS,
10071430001650,RTE MM QUINOA DIP 5.3OZ 411,411,DMMQUIN,BOWLS,
10071430001667,RTE MM CRN BLK BN 5.2OZ 412,412,DMMCORN,BOWLS,
10071430001681,RTE MM APL & CHS 6/5.3OZ 414,414,DMMAPLC,,
10071430009748,DOLE ANGEL HAIR COLESLAW  10 OZ,514,D610AHW,CORE,
10071430010089,DOLE VERY VEGGIE,532,D10VVEG,CORE,BLEND
10071430010379,DOLE ROMAINE FAMILY SIZE  15 OZ,534,DROMFAM,CORE,CHOPPED ROMAINE
10071430009564,DOLE HEARTS OF ROMAINE  10 OZ,540,D6HRTS,CORE,CHOPPED ROMAINE
10071430000851,DOLE CHP POM 6/13.1OZ,601,DPOMCP,CHOPPED,DOLE KITS
10071430000967,DOLE CHP PPYSD 6/13.1 OZ,602,D6CPSWK,CHOPPED,DOLE KITS
10071430000714,DOLE CP SES ASN 6/27.2OZ#608,608,DFSACHP,,
50071430000729,DOLE CHP SNFL 6/27.2OZ#609,609,DFSSCC,,
10071430000295,DOLE KIT CHOPPED BBQ RCH,611,D6CPBBQ,CHOPPED,DOLE KITS
10071430000301,DOLE KIT CHOPPED BCN&BLU,612,D6CPBCN,CHOPPED,DOLE KITS
10071430000318,DOLE KIT CHOP CHIPOL&CHED,613,D6CPCHI,CHOPPED,DOLE KITS
10071430000356,DOLE CHOPPED SESAME ASIAN KIT,616,DASICHP,CHOPPED,DOLE KITS
10071430000349,DOLE KIT CHOP SUNFL CRN,617,DSUNKAL,CHOPPED,DOLE KITS
10071430010706,DOLE BUTTER BLISS  6 OZ,621,D6BUTB,CORE,
10071430000912,DOLE AVO RANCH 6/12.2,623,DAVORCH,KITS,DOLE KITS
10071430000806,DOLE SWT KALE 6/12.0,628,DSWTKAL,KITS,DOLE KITS
10071430017477,DL BNTFL FIESTA 6/10OZ #640,640,DBFFSTA,,
10071430017484,DL BNTFL QUIN 6/8.4OZ #641,641,DBFQUIN,,
10071430017491,DL BNTFL LNTCUC 6/10OZ #642,642,DBFLNTL,,
10071430017453,DL BNTFL SWT THAI 10OZ #643,643,DBFTHAI,,
10071430017408,DOLE SLWSME APL 6/11.1,711,D6SLWSA,KITS,SLAWSOMES
10071430017415,DOLE FIESTA LIME SLAW KIT,713,D6SLWFL,KITS,SLAWSOMES
10071430017507,DL SLWSM HAWAII 6/10.8,715,D6SLWHI,KITS,SLAWSOMES
10071430017590,DL JAC PESTO CSR 6/11.9 #716,716,DJCPCSR,,
10071430017606,DL JAC ORGE CHX 6/12.5 #717,717,DJCORNG,,
10071430017613,DL JAC RSTD PEP 6/11.4 #718,718,DJCRPEP,,
10071430017620,DL JAC LMN CHIX 6/11.8 #719,719,DJCLEMN,,
10071430000936,DOLE CP PEP RNCH 6/9.1 728,728,DCPPRCH,,
10071430000943,DOLE CP BUF RNCH 6/12.1 730,730,DCPBUFR,,
10071430000844,DOLE CHOPPED CEASAR KIT,757,D6CPCSR,CHOPPED,DOLE KITS
10071430017026,DOLE ULT CAESAR SALAD KIT  11.2 OZ,758,D6ULCSR,KITS,DOLE KITS
10071430000882,DOLE KIT GREEK 6/10.6,759,D6CPGRK,CHOPPED,DOLE KITS
10071430000899, DL BCN CSR CHP 6/10.2 ,763,DCPBCSR,CHOPPED,DOLE KITS
20071430010666,DOLE 12/14OZ COLESLAW #2012,2012,D1214SW,CORE,SLAW / SHRED
10071430010362,Dl Diced Southern Slaw 12/14oz,2014,D14DSLW,,
20071430010659,DOLE 12/8OZ SHRD LET #2029,2029,D128SHD,CORE,SLAW / SHRED
10071430009106,DOLE PREMIUM ROMAINE,2537,D95ROM,CORE,
10071430010737,DOLE ENDLS SUMMER SLD KIT  12.9 OZ,2768,D6ENSMR,KITS,DOLE KITS
10071430010539,DOLE SPIN MISO 6/8.3,2769,D6MISO,TENDER,DOLE KITS
10071430010492,DOLE BLUE BLISS 6/6.9,2771,D6BBLIS,KITS,DOLE KITS
10071430017019,DOLE SOUTHWEST SALAD KIT  12.8 OZ,2776,D6SWEST,KITS,DOLE KITS
10011110910407,FSEL COLESLAW  16 OZ,3000,KRSLW16,CORE,SLAW / SHRED
10011110910445,FSEL HEARTS OF ROMAINE  10 OZ,3002,KRHRT10,CORE,CONVENTIONAL CLAM
10011110910414,FSEL AMERICAN BLEND  12 OZ,3003,KRAMR12,CORE,CONVENTIONAL CLAM
10011110910384,FSEL ROMAINE BLEND  10 OZ,3005,KRPRM10,CORE,CONVENTIONAL CLAM
10011110910360,FSEL CLASSIC GARDEN SALAD  12 OZ,3007,KRGRD12,CORE,CONVENTIONAL CLAM
10011110910421,FSEL FIELD GREENS  8 OZ,3008,KRFLDG8,CORE,CONVENTIONAL CLAM
10011110910377,FSEL CLASSIC GARDEN SALAD  24 OZ,3009,KRGRD24,CORE,CONVENTIONAL CLAM
10011110910452,FSEL ITALIAN STYLE BLEND  10 OZ,3010,KRITL10,CORE,CONVENTIONAL CLAM
10011110910469,FSEL LEAFY ROMAINE  10 OZ,3011,KRROM10,CORE,CONVENTIONAL CLAM
10011110910483,FSEL VEGGIE BLEND  12 OZ,3013,KRVEG12,CORE,CONVENTIONAL CLAM
10011110910506,FSEL BABY SPINACH  10 OZ,3015,KRSPN10,TRAYS,CONVENTIONAL CLAM
10011110910520,FSEL BABY SPRING MIX  10 OZ,3017,KRSPR10,TRAYS,CONVENTIONAL CLAM
10011110061062,KR Shred Green Leaf 6/4.5oz #3019,3019,KRSHDGL,,
10011110914061,FSEL BABY SPRING MIX  5 OZ,3023,KR6SM5,TRAYS,CONVENTIONAL CLAM
10011110910841,FSEL 50/50 BLEND  5.5 OZ,3024,KR65050,TRAYS,CONVENTIONAL CLAM
10011110910353,FSEL BABY SPINACH  6 OZ,3025,KR6SP6,TRAYS,CONVENTIONAL CLAM
10011110916133,FSEL SHRD ICEBERG LETTUCE  8 OZ,3029,KRSHRD8,CORE,SLAW / SHRED
10011110914115,FSEL BBY SPIN CLAM 5.0 OZ,3031,KROSP5,TRAYS,FS SMALL ORG
10011110914269,FSEL BBY SPN CLAM 1 LB,3032,KROSP16,TRAYS,FS LARGE ORG
10011110914306,FSEL SPG MIX CLAM 5.0 OZ,3033,KROSM5,TRAYS,FS SMALL ORG
10011110914276,FSEL SPG MIX CLAM 1 LB,3034,KROSM16,TRAYS,FS LARGE ORG
10011110914122,FSEL BBY ROM CLAM 5.0 OZ,3036,KROROM,TRAYS,FS SMALL ORG
10011110914719,FSEL 50-50 MIX CLM 5.0 OZ,3037,KRO5050,TRAYS,FS SMALL ORG
10011110914085,FSEL ARUGULA CLAM 5.0 OZ,3038,KROARU,TRAYS,FS SMALL ORG
10011110917277,FSEL KALE CLAM 5.0 OZ,3039,KROKALE,TRAYS,FS SMALL ORG
10011110917338,FSEL POWER GREENS CLM 5.0 OZ,3040,KROPWRG,TRAYS,FS SMALL ORG
10011110024746,KRSTO 5050 SPNSPR 16OZ,3041,KRO5016,TRAYS,FS LARGE ORG
10011110916492,,3042,KRTNSPN,,
10011110221497,KROGER CHP KALE 6/5OZ 3043,3043,KRCPKAL,,
10011110221503,KROGER ARTISAN MIX 6/5 3045,3045,KRARTSN,,
10011110221480,KROGER SHRED ROM 6/8 3046,3046,KRSRM8,,
