DC,Item,31-Aug,1-Sep
Atlanta,D6AMER,130,160
Atlanta,D6CAESR,200,160
Atlanta,D6LFCSR,60,70
Atlanta,D62ROM,120,130
Atlanta,DFAMUCR,120,120
Atlanta,D6CSPIN,260,110
Atlanta,D12SPIN,140,30
Atlanta,D6ARUGL,40,30
Atlanta,DMSWGRP,0,30
Atlanta,DMMCORN,0,0
Atlanta,DMMAPLC,0,0
Atlanta,D610AHW,90,120
Atlanta,D10VVEG,0,0
Atlanta,DROMFAM,130,0
Atlanta,D6HRTS,130,100
Atlanta,D6CPBBQ,50,40
Atlanta,D6CPCHI,70,80
Atlanta,DASICHP,140,100
Atlanta,DSUNKAL,110,130
Atlanta,D6BUTB,190,150
Atlanta,DAVORCH,70,40
Atlanta,DSWTKAL,40,30
Atlanta,DCPPRCH,0,30
Atlanta,DCPBUFR,0,30
Atlanta,D6CPCSR,190,190
Atlanta,D6ULCSR,440,390
Atlanta,D6CPGRK,100,70
Atlanta,DCPBCSR,0,80
Atlanta,D95ROM,80,110
Atlanta,D6ENSMR,0,50
Atlanta,D6SWEST,50,30
Atlanta,D1214SW,0,60
Atlanta,D14DSLW,0,10
Atlanta,D128SHD,200,140
Atlanta,KRSLW16,90,90
Atlanta,KRHRT10,180,180
Atlanta,KRAMR12,180,90
Atlanta,KRPRM10,270,180
Atlanta,KRGRD12,180,180
Atlanta,KRFLDG8,240,120
Atlanta,KRGRD24,120,180
Atlanta,KRITL10,90,90
Atlanta,KRROM10,180,90
Atlanta,KRVEG12,90,180
Atlanta,KRSPN10,144,144
Atlanta,KRSPR10,72,144
Atlanta,KRSHDGL,210,190
Atlanta,KR6SM5,96,192
Atlanta,KR65050,96,192
Atlanta,KR6SP6,288,192
Atlanta,KRSHRD8,600,600
Atlanta,KROSP5,1152,960
Atlanta,KROSP16,585,540
Atlanta,KROSM5,384,480
Atlanta,KROSM16,360,315
Atlanta,KROROM,0,192
Atlanta,KRO5050,96,288
Atlanta,KROARU,480,288
Atlanta,KROKALE,96,96
Atlanta,KROPWRG,96,192
Atlanta,KRO5016,180,180
Atlanta,KRTNSPN,420,480
Atlanta,KRCPKAL,40,60
Atlanta,KRARTSN,50,60
Atlanta,KRSRM8,60,70
Delaware,D6AMER,100,90
Delaware,D6CAESR,80,130
Delaware,D6LFCSR,40,30
Delaware,D62ROM,120,160
Delaware,DFAMUCR,40,60
Delaware,D6CSPIN,70,50
Delaware,D12SPIN,30,30
Delaware,DMSWGRP,84,42
Delaware,DMMCORN,84,0
Delaware,DMMAPLC,56,28
Delaware,D610AHW,60,20
Delaware,D10VVEG,50,30
Delaware,DROMFAM,40,50
Delaware,D6HRTS,50,70
Delaware,D6CPBBQ,90,50
Delaware,D6CPCHI,70,70
Delaware,DASICHP,80,110
Delaware,DSUNKAL,200,140
Delaware,D6BUTB,60,130
Delaware,DAVORCH,30,40
Delaware,DSWTKAL,30,10
Delaware,DCPPRCH,50,40
Delaware,DCPBUFR,0,50
Delaware,D6CPCSR,120,150
Delaware,D6ULCSR,130,280
Delaware,D6CPGRK,40,50
Delaware,DCPBCSR,60,80
Delaware,D95ROM,40,50
Delaware,D6ENSMR,70,80
Delaware,D6SWEST,40,60
Delaware,D1214SW,50,10
Delaware,D128SHD,100,120
Delaware,KRSLW16,270,180
Delaware,KRHRT10,180,180
Delaware,KRAMR12,90,180
Delaware,KRPRM10,270,270
Delaware,KRGRD12,180,270
Delaware,KRFLDG8,0,120
Delaware,KRGRD24,120,180
Delaware,KRITL10,90,90
Delaware,KRROM10,90,180
Delaware,KRVEG12,90,180
Delaware,KRSPN10,72,72
Delaware,KRSPR10,72,144
Delaware,KRSHDGL,100,140
Delaware,KR6SM5,96,96
Delaware,KR65050,96,96
Delaware,KR6SP6,240,240
Delaware,KRSHRD8,480,720
Delaware,KROSP5,384,672
Delaware,KROSP16,225,225
Delaware,KROSM5,288,576
Delaware,KROSM16,270,225
Delaware,KROROM,48,0
Delaware,KRO5050,96,192
Delaware,KROARU,96,288
Delaware,KROKALE,48,96
Delaware,KROPWRG,96,96
Delaware,KRO5016,90,90
Delaware,KRTNSPN,180,240
Delaware,KRCPKAL,0,60
Delaware,KRARTSN,0,60
Delaware,KRSRM8,100,0
